SMILES,pIC50
CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCS(=O)(=O)CC6)c(F)c5)c4n3)cn2)CC1,7.086186147616283
Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1,6.518557371497695
CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1,5.0
CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCC(N(C)C)CC3)cn2)n1,5.0
CC(C)c1n[nH]c(C(F)(F)F)c1-c1ccnc(Nc2ccc(N3CCC(N(C)C)CC3)cn2)n1,5.0
Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,7.0
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,8.522878745280337
Nc1nc(Nc2cccc(S(N)(=O)=O)c2)nn1C(=O)c1c(F)cccc1F,7.721246399047171
CCOC(=O)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1,6.00436480540245
Nc1nc(Nc2cccc(C(=O)O)c2)nn1C(=O)c1c(F)cccc1F,6.214670164989233
COC(=O)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,6.301029995663981
Nc1nc(Nc2ccc(C(=O)O)cc2)nn1C(=O)c1c(F)cccc1F,7.346787486224656
Nc1nc(Nc2ccccc2)nn1C(=O)c1c(F)cccc1F,6.638272163982407
CN(C)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1,7.4089353929735005
CN(C)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,7.096910013008056
Nc1nc(Nc2cccnc2)nn1C(=O)c1c(F)cccc1F,6.795880017344075
CCOC(=O)c1cccc(Nc2nc(N)n(C(=O)c3ccccc3F)n2)c1,5.0
CC(C#N)C(=O)N1CCC(C)C(N(C)c2ncnc3[nH]ccc23)C1,6.309803919971486
CN(c1ncnc2[nH]ccc12)C1CCCC1,6.173925197299173
CC1CCC(N(C)c2ncnc3[nH]ccc23)CC1,6.142667503568731
C[C@@H]1CCN(C(=O)CO)C[C@@H]1N(C)c1ncnc2[nH]ccc12,6.075720713938118
Cc1cc(NC(=O)N2CC[C@@H](C)[C@@H](N(C)c3ncnc4[nH]ccc34)C2)sn1,5.950781977329818
CN(c1ncnc2[nH]ccc12)C1CCCCCC1,5.920818753952375
C[C@@H]1CCN(C(=O)CC(F)(F)F)C[C@@H]1N(C)c1ncnc2[nH]ccc12,5.8297382846050425
CC1CCN(C(=O)C2CCC(=O)C2)CC1N(C)c1ncnc2[nH]ccc12,5.809668301829708
CN(c1ncnc2[nH]ccc12)C1CCCCC1,5.769551078621726
c1nc(N2CCC3CCCCC32)c2cc[nH]c2n1,5.75448733218585
C[C@@H]1CCN(C(=O)CC2CC2)C[C@@H]1N(C)c1ncnc2[nH]ccc12,5.718966632752272
CN(c1ncnc2[nH]ccc12)C1CCCCCCC1,5.649751981665837
C[C@@H]1CCN(S(=O)(=O)CC(F)(F)F)C[C@@H]1N(C)c1ncnc2[nH]ccc12,5.555955204081924
CC1CCN(C(=O)C2CCN(Cc3ccccc3)C2=O)CC1N(C)c1ncnc2[nH]ccc12,5.146301788223825
CC1CCN(C(=O)C(C)(C)C#N)CC1N(C)c1ncnc2[nH]ccc12,5.1249387366083
c1ccc2c(c1)C1CCCCC1N2c1ncnc2[nH]ccc12,5.0
c1nc(N2CCCCC2)c2cc[nH]c2n1,5.0
CC1CCC(C)N1c1ncnc2[nH]ccc12,5.0
C[C@@H]1CCN(Cc2cccc(F)c2F)C[C@@H]1N(C)c1ncnc2[nH]ccc12,5.0
CC1CCN(C(=O)c2ccsc2)CC1N(C)c1ncnc2[nH]ccc12,5.0
CC1CCN(C(=O)C2CCOC2)CC1N(C)c1ncnc2[nH]ccc12,5.0
CC1CCN(C(=O)CS(C)(=O)=O)CC1N(C)c1ncnc2[nH]ccc12,5.0
CC(C)(O)C(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,5.992679047077255
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1cc(F)ccc1C(F)(F)F,5.0
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1cc(N2CCNCC2)ccc1C(F)(F)F,6.132532512140949
CN(C)c1ccc(C(F)(F)F)c(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c1,5.327902142064282
O=CN1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,6.122628654130226
